Model,MoleculeID,State,Energy_eV,OscillatorStrength_fL,Transition,Amplitude
MolFinder-RF,mol024,0,3.005,0.34613,(,-0.93
MolFinder-RF,mol039,0,1.585,0.461476,(,0.94
MolFinder-MLP,mol002,11,4.802,0.194481,(,-0.9
MolFinder-MLP,mol015,2,3.862,0.156282,(,-0.9
MolFinder-MLP,mol017,0,3.482,0.20085,(,0.9
MolFinder-MLP,mol025,3,1.966,0.215161,(,0.91
MolDQN-MLP,mol000,0,3.462,1.284448,(,0.98
MolDQN-MLP,mol002,1,4.509,0.734425,(,0.95
MolDQN-MLP,mol011,2,3.296,0.324844,(,0.93
MolDQN-MLP,mol014,0,3.572,1.601728,(,0.97
MolDQN-MLP,mol014,3,4.618,0.261316,(,-0.94
MolDQN-MLP,mol016,0,4.401,0.661221,(,-0.94
MolDQN-MLP,mol022,4,5.252,0.166222,(,0.94
MolDQN-MLP,mol026,1,1.71,0.187609,(,0.93
MolDQN-MLP,mol026,2,2.983,0.422688,(,0.94
MolDQN-MLP,mol031,2,3.886,0.176824,(,0.93
MolDQN-MLP,mol032,0,3.691,0.86333,(,0.96
MolDQN-MLP,mol033,1,3.884,0.914946,(,-0.94
MolDQN-MLP,mol035,2,3.823,0.736414,(,0.94
MolDQN-MLP,mol037,0,3.824,1.38493,(,-0.98
MolDQN-MLP,mol040,0,3.629,1.074765,(,0.96
MolDQN-MLP,mol041,0,3.353,0.675282,(,-0.95
MolDQN-MLP,mol041,3,4.321,0.257813,(,0.92
MolDQN-MLP,mol043,0,4.176,0.333376,(,0.95
MolDQN-MLP,mol049,0,1.902,0.329727,(,0.92
ReLeaSE-MLP_mod3,mol008,0,4.214,0.310878,(,-0.95
ReLeaSE-RF_mod3,mol016,1,2.382,0.253921,(,-0.98
ReLeaSE-RF_mod3,mol026,0,4.603,0.256641,(,0.96
ReLeaSE-RF_mod3,mol031,0,4.398,0.254701,(,-0.95
ReLeaSE-RF_mod3,mol036,0,3.107,0.227721,(,-0.93
ReLeaSE-RF_mod3,mol044,0,5.091,0.64303,(,-0.96
MolDQN-RF,mol001,0,4.33,0.87359,(,0.97
MolDQN-RF,mol002,0,3.418,0.983465,(,0.95
MolDQN-RF,mol002,1,4.301,0.779013,(,-0.94
MolDQN-RF,mol003,0,4.31,0.313985,(,-0.95
MolDQN-RF,mol004,0,4.648,0.72547,(,0.96
MolDQN-RF,mol005,0,4.583,1.256986,(,-0.97
MolDQN-RF,mol007,0,2.797,1.947321,(,0.93
MolDQN-RF,mol008,0,3.451,1.629516,(,-0.98
MolDQN-RF,mol008,2,4.861,0.387565,(,-0.96
MolDQN-RF,mol010,0,4.461,0.407684,(,0.95
MolDQN-RF,mol011,0,3.568,0.354478,(,0.96
MolDQN-RF,mol015,1,3.868,1.017383,(,0.92
MolDQN-RF,mol015,2,4.106,0.224864,(,0.94
MolDQN-RF,mol016,0,3.535,1.17932,(,-0.96
MolDQN-RF,mol021,2,4.19,0.241017,(,0.91
MolDQN-RF,mol023,0,3.789,1.107417,(,0.96
MolDQN-RF,mol026,0,3.773,0.972075,(,-0.93
MolDQN-RF,mol029,0,4.125,1.011127,(,-0.96
MolDQN-RF,mol029,3,5.049,0.359545,(,0.92
MolDQN-RF,mol030,0,3.856,0.234922,(,0.96
MolDQN-RF,mol031,0,4.282,0.340624,(,0.95
MolDQN-RF,mol032,0,3.664,1.046793,(,0.95
MolDQN-RF,mol033,0,2.819,0.423158,(,-0.97
MolDQN-RF,mol034,2,4.733,0.360915,(,-0.91
MolDQN-RF,mol039,0,3.182,0.621737,(,-0.93
MolDQN-RF,mol039,1,4.004,0.555315,(,0.93
MolDQN-RF,mol041,1,4.027,1.041337,(,-0.93
MolDQN-RF,mol042,3,4.313,1.561054,(,-0.91
MolDQN-RF,mol043,2,4.112,0.332515,(,0.9
MolDQN-RF,mol045,0,4.579,0.695447,(,0.95
MolDQN-RF,mol049,0,4.508,0.512622,(,0.9
MolDQN-RF,mol049,1,4.918,0.320202,(,-0.9
